Quantity,Sales,Month,Category_Accessories,Category_Electronics,Category_Office,Region_East,Region_North,Region_South,Region_West,Profit
-0.36175681516449243,0.24265034932196172,1.5920617923088736,0.0,0.0,1.0,0.0,1.0,0.0,0.0,348.93
0.8030535372510768,-0.7586347177409981,1.3019479654186223,1.0,0.0,0.0,1.0,0.0,0.0,0.0,106.53
0.026513302307363994,1.1545861963195407,-0.4387349959228859,0.0,1.0,0.0,0.0,0.0,1.0,0.0,502.73
-1.1382970501082053,-0.9270866876807756,-1.0189626497033886,1.0,0.0,0.0,0.0,0.0,1.0,0.0,202.87
-1.5265671675800616,-1.0406175773968787,0.7217203116381196,1.0,0.0,0.0,0.0,0.0,0.0,1.0,103.28
-1.5265671675800616,-1.0344696952822883,1.5920617923088736,0.0,1.0,0.0,0.0,0.0,0.0,1.0,106.35
0.8030535372510768,1.2783635562266278,1.011834138528371,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1027.98
0.8030535372510768,0.004522382083492756,-1.5991903034838912,0.0,1.0,0.0,0.0,0.0,1.0,0.0,873.5
1.5795937721947897,1.0156440605297972,-0.7288488228131372,0.0,1.0,0.0,1.0,0.0,0.0,0.0,595.28
1.1913236547229331,-0.9738105917516628,1.011834138528371,0.0,0.0,1.0,0.0,0.0,1.0,0.0,186.37
0.4147834197792204,1.6501054947555287,1.5920617923088736,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1357.68
-1.1382970501082053,-1.0434865890503542,0.7217203116381196,0.0,1.0,0.0,1.0,0.0,0.0,0.0,137.4
0.8030535372510768,1.8091307121196007,1.5920617923088736,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2166.17
0.026513302307363994,0.47422057563820086,-1.30907647659364,0.0,1.0,0.0,0.0,0.0,0.0,1.0,585.29
-1.5265671675800616,-1.0156161901308778,1.011834138528371,0.0,1.0,0.0,0.0,0.0,0.0,1.0,138.54
-1.5265671675800616,-1.0684879763163553,1.011834138528371,1.0,0.0,0.0,1.0,0.0,0.0,0.0,102.42
0.8030535372510768,1.8119997237730763,-0.4387349959228859,1.0,0.0,0.0,0.0,1.0,0.0,0.0,589.81
-1.1382970501082053,-0.34262802798704634,-1.30907647659364,0.0,1.0,0.0,0.0,0.0,1.0,0.0,145.75
0.026513302307363994,-0.9459401928321862,1.5920617923088736,0.0,1.0,0.0,1.0,0.0,0.0,0.0,146.39
